dataset,format,input_name,t,qblue_err,qblue_pipeline,qblue_grouping,qblue_algorithm,qblue_backend,qblue_ok,qblue_wall_s,qblue_qubits,qblue_gates_opt_total,qblue_gates_opt_CX,tetris_compiler,tetris_order_method,tetris_qiskit_opt,tetris_reverse_labels,tetris_ok,tetris_wall_s,tetris_qubits,tetris_depth,tetris_gates_opt_total,tetris_gates_opt_CX,ratio_wall_s,ratio_gates_opt_total,ratio_gates_opt_CX,qblue_stderr_tail,tetris_error
MarQSim_dataset,marqsim,_Pauli_string_BeH2_f.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040973,12,246,156,tetris,,True,False,True,0.734831,12,4282,6198,3330,17.9345,25.1951,21.3462,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_f.txt:\n[DBG] Length of Pauli String 661\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 98 pauli strings; lambda = 21.488184; relaxation factor: 1.044829.\n[DBG] Input circuit uses 12 qubits, has 636 gates:  { H : 152, X : 0, Rzq : 142, CX : 342 }.\n[DBG] After optimization, the circuit uses 246 gates : { U1 : 32, U2 : 51, U3 : 7, CX : 156 }.\n\n",
MarQSim_dataset,marqsim,_Pauli_string_BeH2_unf.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.036802,14,176,135,tetris,,True,False,True,0.574124,14,4964,7002,3823,15.6003,39.7841,28.3185,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_unf.txt:\n[DBG] Length of Pauli String 661\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 98 pauli strings; lambda = 21.488184; relaxation factor: 1.044829.\n[DBG] Input circuit uses 14 qubits, has 522 gates:  { H : 104, X : 0, Rzq : 134, CX : 284 }.\n[DBG] After optimization, the circuit uses 176 gates : { U1 : 25, U2 : 9, U3 : 7, CX : 135 }.\n\n",
Genesis_dataset,genesis,JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.042610,12,101,68,tetris,,True,False,True,0.472996,12,4505,6381,3376,11.1006,63.1782,49.6471,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 631\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 66 pauli strings; lambda = 17.506900; relaxation factor: 1.054484.\n[DBG] Input circuit uses 12 qubits, has 180 gates:  { H : 32, X : 0, Rzq : 64, CX : 84 }.\n[DBG] After optimization, the circuit uses 101 gates : { U1 : 15, U2 : 14, U3 : 4, CX : 68 }.\n\n",
Genesis_dataset,genesis,BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040765,12,142,106,tetris,,True,False,True,0.603753,12,4658,6022,3278,14.8106,42.4085,30.9245,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 631\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 66 pauli strings; lambda = 17.506900; relaxation factor: 1.054484.\n[DBG] Input circuit uses 12 qubits, has 252 gates:  { H : 42, X : 0, Rzq : 68, CX : 142 }.\n[DBG] After optimization, the circuit uses 142 gates : { U1 : 18, U2 : 17, U3 : 1, CX : 106 }.\n\n",
Genesis_dataset,genesis,JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.034571,14,164,115,tetris,,True,False,True,0.570496,14,4988,7122,3915,16.5022,43.4268,34.0435,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 666\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 235 pauli strings; lambda = 33.705040; relaxation factor: 1.029101.\n[DBG] Input circuit uses 14 qubits, has 607 gates:  { H : 102, X : 0, Rzq : 189, CX : 316 }.\n[DBG] After optimization, the circuit uses 164 gates : { U1 : 28, U2 : 17, U3 : 4, CX : 115 }.\n\n",
Genesis_dataset,genesis,BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.034383,14,260,166,tetris,,True,False,True,0.675561,14,5332,6886,4002,19.6481,26.4846,24.1084,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 666\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 235 pauli strings; lambda = 33.705040; relaxation factor: 1.029101.\n[DBG] Input circuit uses 14 qubits, has 1067 gates:  { H : 142, X : 0, Rzq : 217, CX : 708 }.\n[DBG] After optimization, the circuit uses 260 gates : { U1 : 38, U2 : 53, U3 : 3, CX : 166 }.\n\n",
Genesis_dataset,genesis,JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.041021,16,375,266,tetris,,True,False,True,0.748744,16,5962,8958,5047,18.2527,23.888,18.9737,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 789\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 366 pauli strings; lambda = 42.223338; relaxation factor: 1.023341.\n[DBG] Input circuit uses 16 qubits, has 1332 gates:  { H : 252, X : 0, Rzq : 332, CX : 748 }.\n[DBG] After optimization, the circuit uses 375 gates : { U1 : 58, U2 : 38, U3 : 13, CX : 266 }.\n\n",
Genesis_dataset,genesis,BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.044797,16,346,238,tetris,,True,False,True,0.787054,16,5745,7855,4179,17.5693,22.7023,17.5588,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 789\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 366 pauli strings; lambda = 42.223338; relaxation factor: 1.023341.\n[DBG] Input circuit uses 16 qubits, has 1636 gates:  { H : 262, X : 0, Rzq : 322, CX : 1052 }.\n[DBG] After optimization, the circuit uses 346 gates : { U1 : 61, U2 : 34, U3 : 13, CX : 238 }.\n\n",
Genesis_dataset,genesis,BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040368,12,494,304,tetris,,True,False,True,0.884909,12,6671,8856,4544,21.9211,17.9271,14.9474,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 915\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 305 pauli strings; lambda = 38.512463; relaxation factor: 1.025576.\n[DBG] Input circuit uses 12 qubits, has 1871 gates:  { H : 452, X : 0, Rzq : 403, CX : 1016 }.\n[DBG] After optimization, the circuit uses 494 gates : { U1 : 86, U2 : 91, U3 : 13, CX : 304 }.\n\n",
Genesis_dataset,genesis,JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.038042,12,552,384,tetris,,True,False,True,0.627655,12,6829,9992,5375,16.499,18.1014,13.9974,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 915\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 305 pauli strings; lambda = 38.512463; relaxation factor: 1.025576.\n[DBG] Input circuit uses 12 qubits, has 1219 gates:  { H : 258, X : 0, Rzq : 301, CX : 660 }.\n[DBG] After optimization, the circuit uses 552 gates : { U1 : 77, U2 : 75, U3 : 16, CX : 384 }.\n\n",
Genesis_dataset,genesis,BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.052088,12,639,422,tetris,,True,False,True,1.115561,12,8374,10939,5561,21.4169,17.1189,13.1777,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1219\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 363 pauli strings; lambda = 42.055417; relaxation factor: 1.023442.\n[DBG] Input circuit uses 12 qubits, has 2147 gates:  { H : 548, X : 0, Rzq : 461, CX : 1138 }.\n[DBG] After optimization, the circuit uses 639 gates : { U1 : 94, U2 : 105, U3 : 18, CX : 422 }.\n\n",
Genesis_dataset,genesis,JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.046176,12,549,357,tetris,,True,False,True,0.877145,12,8547,12807,6813,18.9957,23.3279,19.084,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1219\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 363 pauli strings; lambda = 42.055417; relaxation factor: 1.023442.\n[DBG] Input circuit uses 12 qubits, has 1547 gates:  { H : 334, X : 0, Rzq : 397, CX : 816 }.\n[DBG] After optimization, the circuit uses 549 gates : { U1 : 92, U2 : 84, U3 : 16, CX : 357 }.\n\n",
Genesis_dataset,genesis,JW_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.086216,16,1221,842,tetris,,True,False,True,1.011998,16,9577,14147,7999,11.7379,11.5864,9.5,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1177\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 749 pauli strings; lambda = 60.625823; relaxation factor: 1.016320.\n[DBG] Input circuit uses 16 qubits, has 3480 gates:  { H : 694, X : 0, Rzq : 794, CX : 1992 }.\n[DBG] After optimization, the circuit uses 1221 gates : { U1 : 180, U2 : 173, U3 : 26, CX : 842 }.\n\n",
Genesis_dataset,genesis,JW_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.083777,16,1283,897,tetris,,True,False,True,1.008417,16,9871,14041,7870,12.0369,10.9439,8.77369,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1177\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 1312 pauli strings; lambda = 80.451692; relaxation factor: 1.012339.\n[DBG] Input circuit uses 16 qubits, has 3624 gates:  { H : 646, X : 0, Rzq : 1064, CX : 1914 }.\n[DBG] After optimization, the circuit uses 1283 gates : { U1 : 174, U2 : 179, U3 : 33, CX : 897 }.\n\n",
Genesis_dataset,genesis,BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.104118,16,1217,811,tetris,,True,False,True,1.398168,16,9661,12766,7235,13.4287,10.4897,8.92109,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1177\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 749 pauli strings; lambda = 60.625823; relaxation factor: 1.016320.\n[DBG] Input circuit uses 16 qubits, has 4602 gates:  { H : 1004, X : 0, Rzq : 954, CX : 2644 }.\n[DBG] After optimization, the circuit uses 1217 gates : { U1 : 179, U2 : 185, U3 : 42, CX : 811 }.\n\n",
Genesis_dataset,genesis,BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.122420,16,1185,768,tetris,,True,False,True,1.369796,16,9533,12779,7299,11.1893,10.784,9.50391,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1177\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 1312 pauli strings; lambda = 80.451692; relaxation factor: 1.012339.\n[DBG] Input circuit uses 16 qubits, has 5102 gates:  { H : 894, X : 0, Rzq : 1230, CX : 2978 }.\n[DBG] After optimization, the circuit uses 1185 gates : { U1 : 198, U2 : 194, U3 : 25, CX : 768 }.\n\n",
Genesis_dataset,genesis,JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.228385,14,2205,1457,tetris,,True,False,True,1.386382,14,12412,18305,9939,6.07037,8.30159,6.82155,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1654\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2984 pauli strings; lambda = 121.618886; relaxation factor: 1.008185.\n[DBG] Input circuit uses 14 qubits, has 7945 gates:  { H : 1512, X : 0, Rzq : 2529, CX : 3904 }.\n[DBG] After optimization, the circuit uses 2205 gates : { U1 : 341, U2 : 291, U3 : 116, CX : 1457 }.\n\n",
Genesis_dataset,genesis,BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.502527,14,2551,1600,tetris,,True,False,True,1.672192,14,11218,14783,7730,3.32757,5.79498,4.83125,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 1654\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2984 pauli strings; lambda = 121.618886; relaxation factor: 1.008185.\n[DBG] Input circuit uses 14 qubits, has 12751 gates:  { H : 2366, X : 0, Rzq : 2841, CX : 7544 }.\n[DBG] After optimization, the circuit uses 2551 gates : { U1 : 417, U2 : 449, U3 : 85, CX : 1600 }.\n\n",
